version;type_of_upload;pvalue;group_by;filters_;year_;month_1;month_2;month_3;month_4;month_5;month_6;month_7;month_8;month_9;month_10;month_11;month_12;total_by_year
2025.0;budget;TOTAL;TOTAL;TOTAL;2025;1,062;1,062;1,062;1,098;1,098;1,098;1,098;1,098;1,098;1,127;1,127;1,127;1,09600
2025.0;budget;Внутр. АВТОВАЗ;Тип производства;TOTAL;2025;1,059;1,059;1,059;1,089;1,089;1,089;1,089;1,088;1,088;1,123;1,123;1,123;1,092
2025.0;budget;Закупки АВТОВАЗ;Тип производства;TOTAL;2025;1,056;1,054;1,055;1,072;1,069;1,07;1,066;1,068;1,07;1,088;1,087;1,085;1,071
2025.0;budget;Прямые закупки ЛИ;Тип производства;TOTAL;2025;1,058;1,058;1,058;1,09;1,091;1,09;1,09;1,09;1,09;1,113;1,113;1,111;1,09
2025.0;budget;Прямые закупки ЛИ (ОАТ);Тип производства;TOTAL;2025;1,066;1,066;1,066;1,081;1,081;1,081;1,08;1,08;1,08;1,115;1,115;1,115;1,088
2025.0;budget;Общий итог;Тип производства;TOTAL;2025;1,059;1,059;1,059;1,087;1,088;1,087;1,087;1,087;1,087;1,114;1,114;1,113;1,089
2025.0;budget;Внутр. АВТОВАЗ;Тип производства;БЕЗ_ ТРАНЗИТ;2025;1,059;1,059;1,059;1,089;1,089;1,089;1,089;1,088;1,088;1,123;1,123;1,123;1,092
2025.0;budget;Закупки АВТОВАЗ;Тип производства;БЕЗ_ ТРАНЗИТ;2025;1,056;1,054;1,055;1,072;1,069;1,07;1,066;1,068;1,07;1,088;1,087;1,085;1,071
2025.0;budget;Прямые закупки ЛИ;Тип производства;БЕЗ_ ТРАНЗИТ;2025;1,06;1,06;1,06;1,096;1,095;1,095;1,095;1,095;1,095;1,12;1,119;1,119;1,096
2025.0;budget;Прямые закупки ЛИ (ОАТ);Тип производства;БЕЗ_ ТРАНЗИТ;2025;1,066;1,066;1,066;1,081;1,081;1,081;1,08;1,08;1,08;1,115;1,115;1,115;1,088
2025.0;budget;Общий итог;Тип производства;БЕЗ_ ТРАНЗИТ;2025;1,06;1,06;1,06;1,09;1,091;1,09;1,09;1,089;1,09;1,118;1,118;1,117;1,092
2025.0;budget;Внутр. АВТОВАЗ;Тип производства;БЕЗ_ НЕПРОФИЛЬ;2025;1,059;1,059;1,059;1,089;1,089;1,089;1,089;1,089;1,089;1,123;1,123;1,123;1,092
2025.0;budget;Закупки АВТОВАЗ;Тип производства;БЕЗ_ НЕПРОФИЛЬ;2025;1,066;1,066;1,066;1,088;1,088;1,088;1,088;1,088;1,088;1,113;1,113;1,113;1,09
2025.0;budget;Прямые закупки ЛИ;Тип производства;БЕЗ_ НЕПРОФИЛЬ;2025;1,059;1,058;1,058;1,091;1,092;1,092;1,092;1,092;1,092;1,116;1,116;1,114;1,092
2025.0;budget;Прямые закупки ЛИ (ОАТ);Тип производства;БЕЗ_ НЕПРОФИЛЬ;2025;1,066;1,066;1,066;1,081;1,081;1,081;1,081;1,081;1,081;1,116;1,116;1,116;1,088
2025.0;budget;Общий итог;Тип производства;БЕЗ_ НЕПРОФИЛЬ;2025;1,06;1,06;1,06;1,089;1,09;1,089;1,089;1,089;1,09;1,118;1,117;1,117;1,092
2025.0;budget;Внутр. АВТОВАЗ;Тип производства;БЕЗ_ НЕПРОФИЛЬ+ТРАНЗИТ;2025;1,059;1,059;1,059;1,089;1,089;1,089;1,089;1,089;1,089;1,123;1,123;1,123;1,092
2025.0;budget;Закупки АВТОВАЗ;Тип производства;БЕЗ_ НЕПРОФИЛЬ+ТРАНЗИТ;2025;1,066;1,066;1,066;1,088;1,088;1,088;1,088;1,088;1,088;1,113;1,113;1,113;1,09
2025.0;budget;Прямые закупки ЛИ;Тип производства;БЕЗ_ НЕПРОФИЛЬ+ТРАНЗИТ;2025;1,061;1,061;1,061;1,097;1,097;1,097;1,097;1,097;1,097;1,123;1,123;1,123;1,098
2025.0;budget;Прямые закупки ЛИ (ОАТ);Тип производства;БЕЗ_ НЕПРОФИЛЬ+ТРАНЗИТ;2025;1,066;1,066;1,066;1,081;1,081;1,081;1,081;1,081;1,081;1,116;1,116;1,116;1,088
2025.0;budget;Общий итог;Тип производства;БЕЗ_ НЕПРОФИЛЬ+ТРАНЗИТ;2025;1,061;1,061;1,061;1,092;1,093;1,092;1,092;1,092;1,093;1,122;1,122;1,121;1,095
2025.0;budget;Внутр. АВТОВАЗ;Тип производства;ТРАНЗИТ;2025;;;;;;;;;;;;;
2025.0;budget;Закупки АВТОВАЗ;Тип производства;ТРАНЗИТ;2025;;;;;;;;;;;;;
2025.0;budget;Прямые закупки ЛИ;Тип производства;ТРАНЗИТ;2025;1,035;1,035;1,031;1,029;1,03;1,032;1,032;1,032;1,029;1,028;1,027;1,026;1,03
2025.0;budget;Прямые закупки ЛИ (ОАТ);Тип производства;ТРАНЗИТ;2025;;;;;;;;;;;;;
2025.0;budget;Общий итог;Тип производства;ТРАНЗИТ;2025;1,035;1,035;1,031;1,029;1,03;1,032;1,032;1,032;1,029;1,028;1,027;1,026;1,03
2025.0;budget;Внутр. АВТОВАЗ;Тип производства;НЕПРОФИЛЬ;2025;1;1;1;1;1;1;1;1;1;1;1;1;1
2025.0;budget;Закупки АВТОВАЗ;Тип производства;НЕПРОФИЛЬ;2025;1;1;1;1;1;1;1;1;1;1;1;1;1
2025.0;budget;Прямые закупки ЛИ;Тип производства;НЕПРОФИЛЬ;2025;1;1;1;1;1;1;1;1;1;1;1;1;1
2025.0;budget;Прямые закупки ЛИ (ОАТ);Тип производства;НЕПРОФИЛЬ;2025;1;1;1;1;1;1;1;1;1;1;1;1;1
2025.0;budget;Общий итог;Тип производства;НЕПРОФИЛЬ;2025;1;1;1;1;1;1;1;1;1;1;1;1;1
2025.0;budget;LECAR Service;Сегменты бизнеса;TOTAL;2025;1,061;1,061;1,061;1,097;1,097;1,097;1,097;1,097;1,097;1,123;1,123;1,123;1,099
2025.0;budget;Дилеры ЛАДА;Сегменты бизнеса;TOTAL;2025;1,058;1,058;1,058;1,089;1,091;1,09;1,09;1,09;1,089;1,115;1,115;1,114;1,091
2025.0;budget;Дилеры НИССАН;Сегменты бизнеса;TOTAL;2025;1,06;1,059;1,059;1,09;1,089;1,089;1,088;1,087;1,087;1,111;1,11;1,109;1,089
2025.0;budget;Дилеры РЕНО;Сегменты бизнеса;TOTAL;2025;1,049;1,048;1,049;1,073;1,073;1,073;1,07;1,066;1,069;1,086;1,086;1,084;1,071
2025.0;budget;Оптовые операторы;Сегменты бизнеса;TOTAL;2025;1,061;1,061;1,061;1,087;1,087;1,087;1,087;1,087;1,088;1,117;1,117;1,117;1,09
2025.0;budget;Прочие;Сегменты бизнеса;TOTAL;2025;1,061;1,061;1,061;1,088;1,088;1,088;1,088;1,088;1,088;1,121;1,121;1,121;1,089
